0,health,"['A', 'ABC', 'ABT', 'AGN', 'BAX', 'BDX', 'BSX', 'CAH', 'CERN', 'CI', 'CVH', 'CVS', 'DGX', 'DHR', 'DVA', 'GE', 'HUM', 'ISRG', 'JNJ', 'LH', 'MCK', 'MDT', 'PDCO', 'PKI', 'SYK', 'SYY', 'THC', 'UNH', 'VAR', 'XRAY']"
1,materials,"['AA', 'APD', 'ATI', 'AVY', 'CLF', 'DD', 'FCX', 'IP', 'MMM', 'NEM', 'NUE', 'VMC', 'WY', 'X']"
2,it,"['AAPL', 'ACN', 'ADBE', 'ADSK', 'AKAM', 'CERN', 'CRM', 'CSCO', 'CTSH', 'CTXS', 'EXPE', 'FFIV', 'GOOG', 'IBM', 'INTU', 'MSFT', 'NTAP', 'ORCL', 'PAYX', 'TRIP', 'VRSN']"
3,it hardware,"['ADI', 'ALTR', 'AMAT', 'AMD', 'APH', 'DELL', 'FLIR', 'HPQ', 'INTC', 'JNPR', 'KLAC', 'LRCX', 'LSI', 'MCHP', 'MU', 'NVDA', 'PBI', 'QCOM', 'ROK', 'ROP', 'SWK', 'TEL', 'TER', 'TXN', 'XLNX', 'XRX']"
4,consumer goods,"['ADM', 'BLL', 'CL', 'CLX', 'COST', 'CPB', 'DG', 'DLTR', 'EL', 'GE', 'GIS', 'HAS', 'HD', 'HON', 'IFF', 'JNJ', 'KMB', 'KR', 'LOW', 'MAT', 'NWL', 'PG', 'RL', 'SE', 'SEE', 'TGT', 'WHR', 'WMT']"
5,information services,"['ADP', 'FIS', 'FISV', 'IRM', 'MHP', 'SAI']"
6,real estate,"['ADT', 'AIV', 'AMT', 'AVB', 'BXP', 'CTAS', 'DHI', 'EQR', 'GWW', 'HST', 'JCI', 'KIM', 'LEN', 'MAS', 'PHM', 'PLD', 'PSA', 'SPG', 'VNO', 'VTR', 'WY']"
7,utilities,"['AEE', 'AEP', 'AES', 'CMS', 'CNP', 'ED', 'EIX', 'ETN', 'EXC', 'FE', 'NEE', 'NI', 'NRG', 'PCG', 'PEG', 'PNW', 'POM', 'PPL', 'PWR', 'SO', 'SRE', 'WAT', 'WEC', 'XEL']"
8,insurance,"['AFL', 'AIG', 'AIZ', 'ALL', 'AON', 'GNW', 'HIG', 'LNC', 'MET', 'MMC', 'PFG', 'PGR', 'TRV', 'UNM']"
9,pharma,"['ALXN', 'BMY', 'CELG', 'JNJ', 'LLY', 'MCK', 'MRK', 'MYL', 'PFE', 'PRGO']"
10,biotech,"['AMGN', 'BIIB', 'GILD', 'LIFE', 'TMO']"
11,finance,"['AMP', 'AXP', 'BAC', 'BBT', 'BEN', 'BK', 'BLK', 'C', 'CB', 'CINF', 'CMA', 'CME', 'COF', 'DFS', 'ETFC', 'FHN', 'FII', 'FITB', 'GS', 'HBAN', 'ICE', 'IVZ', 'JPM', 'KEY', 'L', 'LM', 'LNC', 'MA', 'MCO', 'MS', 'MTB', 'NDAQ', 'NTRS', 'NYX', 'PBCT', 'PFG', 'PNC', 'PRU', 'RF', 'SCHW', 'SLM', 'STI', 'STT', 'TROW', 'USB', 'V', 'WFC', 'ZION']"
12,ecommerce,"['AMZN', 'EBAY']"
13,auto,"['AN', 'AZO', 'BWA', 'CMI', 'F', 'GPC', 'GT', 'HOG', 'KMX', 'ORLY', 'PCAR', 'SNA', 'TEL']"
14,retail,"['ANF', 'AVP', 'BBBY', 'BBY', 'BIG', 'EL', 'FOSL', 'GPS', 'JCP', 'JWN', 'KSS', 'M', 'NKE', 'RL', 'ROST', 'TIF', 'TJX', 'URBN', 'VFC', 'WMT']"
15,energy,"['APA', 'BHI', 'BTU', 'CHK', 'CNX', 'COG', 'COP', 'CVX', 'D', 'DNR', 'DO', 'DTE', 'DUK', 'DVN', 'EOG', 'EQT', 'FLR', 'FLS', 'FTI', 'HAL', 'HES', 'HP', 'KMI', 'L', 'MPC', 'MRO', 'MUR', 'NBL', 'NBR', 'NE', 'NFX', 'NOV', 'OKE', 'OXY', 'PSX', 'PWR', 'PXD', 'QEP', 'RRC', 'SLB', 'SWN', 'TEL', 'VLO', 'WMB', 'WPX', 'XOM']"
16,aviation,"['BA', 'LUV', 'PCP', 'PH', 'SNA', 'TXT', 'UTX']"
17,food,"['CAG', 'CMG', 'DRI', 'GIS', 'HNZ', 'HRL', 'K', 'KO', 'KR', 'MDLZ', 'MKC', 'MNST', 'PEP', 'SBUX', 'SJM', 'STZ', 'SYY', 'TAP', 'YUM']"
18,construction,"['CAT', 'DE', 'FAST', 'FLR', 'JEC', 'LEN', 'LOW', 'MAS', 'MMM', 'PHM', 'PWR', 'SHW', 'VMC']"
19,agriculture,"['CAT', 'CF', 'DD', 'DE', 'MON', 'MOS']"
20,media,"['CBS', 'DIS', 'DISCA', 'EA', 'GCI', 'GME', 'IPG', 'NFLX', 'NWSA', 'OMC', 'RRD', 'TWX', 'VIAB']"
21,telecom,"['CCI', 'CMCSA', 'CTL', 'FTR', 'MSI', 'PBI', 'RRD', 'S', 'T', 'VZ', 'WU']"
22,tourism,"['CCL', 'EXPE', 'HST', 'L', 'MAR', 'SYY', 'WYNN']"
23,shipping,"['CHRW', 'EXPD', 'FDX', 'PLD', 'R', 'SEE', 'UPS']"
24,railway,"['CSX', 'EXPD', 'NSC', 'SNA', 'UNP']"
25,entertainment,"['DIS', 'EA', 'GME', 'HAS', 'IGT', 'MAT', 'NFLX', 'TWX', 'VIAB']"
26,credit,"['DNB', 'EFX']"
27,manufacturing,"['DOV', 'EMR', 'FAST', 'K', 'LEG', 'MOLX', 'OI', 'PCAR', 'PCP', 'SNA', 'TEL', 'WHR', 'X']"
28,chemicals,"['DOW', 'ECL', 'EMN', 'FMC', 'LYB', 'PPG', 'SHW']"
29,water,"['ECL', 'GE', 'PLL', 'PNR', 'XYL']"
30,engineering,"['EMR', 'FLR']"
31,medical equipment,"['ETR', 'EW']"
32,advanced manufacturing,"['FLS', 'GE', 'GLW', 'IR', 'ITW', 'JBL']"
33,green energy,"['FSLR', 'GE']"
34,defense,"['GD', 'HAL', 'LMT', 'NOC', 'RTN', 'TEL']"
35,aerospace,"['GD', 'HON', 'LMT', 'NOC', 'PCP', 'PH', 'PLL', 'RTN', 'TXT', 'UTX']"
36,consumer services,"['HRB', 'HRB', 'INTU', 'PAYX']"
37,foods,"['HSY', 'MCD', 'TSN']"
38,data storage,"['IRM', 'STX', 'WDC', 'WDC']"
39,architecture,['JEC']
40,consulting,"['MMC', 'RHI']"
41,tobacco,"['MO', 'PM']"
42,waste,"['RSG', 'SRCL', 'WM']"
43,business analytics,['TDC']
