0,355,47,{'weight': 20}
1,185,38,{'weight': 16}
2,64,216,{'weight': 16}
3,58,126,{'weight': 16}
4,179,285,{'weight': 16}
5,135,354,{'weight': 16}
6,303,351,{'weight': 16}
7,351,121,{'weight': 16}
8,155,150,{'weight': 16}
9,386,133,{'weight': 14}
10,386,417,{'weight': 14}
11,252,76,{'weight': 14}
12,16,182,{'weight': 14}
13,33,61,{'weight': 14}
14,338,174,{'weight': 14}
15,338,416,{'weight': 14}
16,410,317,{'weight': 14}
17,10,382,{'weight': 14}
18,9,193,{'weight': 14}
19,296,351,{'weight': 14}
20,375,247,{'weight': 14}
21,317,121,{'weight': 14}
22,135,38,{'weight': 14}
23,243,307,{'weight': 14}
24,36,389,{'weight': 14}
25,122,351,{'weight': 14}
26,351,399,{'weight': 14}
27,399,108,{'weight': 14}
28,402,260,{'weight': 14}
29,167,121,{'weight': 14}
30,306,262,{'weight': 14}
31,306,174,{'weight': 14}
32,315,193,{'weight': 14}
33,262,309,{'weight': 14}
34,76,305,{'weight': 14}
35,247,361,{'weight': 14}
36,81,137,{'weight': 14}
37,320,174,{'weight': 12}
38,320,243,{'weight': 12}
39,385,77,{'weight': 12}
40,385,190,{'weight': 12}
41,386,379,{'weight': 12}
42,386,312,{'weight': 12}
43,386,30,{'weight': 12}
44,148,121,{'weight': 12}
45,148,319,{'weight': 12}
46,172,229,{'weight': 12}
47,172,363,{'weight': 12}
48,172,118,{'weight': 12}
49,299,262,{'weight': 12}
